"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"91","A","62","04547336","Bath Spa Toastmasters","Active","21","27","6","3","2","0","3","1","0","4","13","4","3","1","1","1","D"
"91","A","62","05812194","Bristol Central Speakers","Active","27","48","8","3","2","0","2","1","1","4","33","6","4","1","1","1","S"
"91","B","06","00005235","London Olympians Speakers Toastmasters Club","Active","32","40","10","4","2","3","2","1","2","4","21","7","7","1","1","1","P"
"91","B","06","00007365","London Athenian Speakers Toastmasters Club","Active","54","54","10","4","2","2","5","1","3","4","36","5","5","1","1","1","P"
"91","B","06","00007951","London Corinthians Toastmasters","Active","15","30","5","1","2","0","1","0","0","4","19","4","4","1","1","1","D"
"91","B","06","00885179","West London Speakers Club","Active","35","39","9","4","2","0","2","1","2","4","32","5","4","1","1","1","P"
"91","B","06","28676544","Medidata EMEA","Active","29","20","5","6","1","0","3","0","0","4","1","5","4","1","1","1","D"
"91","B","08","00005257","Tube Talk Toastmasters","Active","20","20","5","1","2","0","2","0","0","4","15","3","3","1","1","1","D"
"91","B","08","05513601","Clapham Connectors","Active","35","25","3","5","1","0","0","0","0","4","17","3","2","1","0","0",""
"91","B","08","06787373","London Toastmasters","Active","45","50","7","4","1","0","0","1","1","4","61","6","7","1","1","1","S"
"91","B","08","07064444","Legacy Speakers Brixton","Active","20","20","7","2","2","1","1","1","1","4","16","7","5","1","1","1","S"
"91","B","08","07814710","LSBU Public Speakers Club","Active","10","26","7","2","1","0","3","1","2","4","15","7","7","1","1","1","S"
"91","B","08","28677192","The Good Growth Club","Active","30","10","1","0","0","0","0","0","0","1","0","0","0","0","1","1",""
"91","B","09","00003149","Holborn Speakers","Active","49","46","5","1","1","0","1","1","1","4","40","2","2","1","1","1","D"
"91","B","09","00009079","Excalibur Speakers","Active","27","41","10","4","2","2","2","1","1","4","14","7","6","1","1","1","P"
"91","B","09","00835375","Early Bird Speakers","Active","41","48","9","4","2","2","2","1","4","4","11","4","2","1","1","1","P"
"91","B","09","04321433","Data Science Speakers Club","Active","22","24","10","5","2","2","3","1","1","4","8","4","5","1","1","1","P"
"91","B","09","05987771","Central London Toastmasters","Active","28","21","5","1","2","0","0","1","0","4","53","3","2","1","1","1","D"
"91","B","09","28676517","Sustainable Speakers Online","Active","29","35","10","8","2","2","3","1","7","4","12","7","7","1","1","1","P"
"91","B","18","00674907","London Cardinals","Active","35","38","10","10","2","3","2","1","7","4","20","7","6","1","1","1","P"
"91","B","18","04138266","London Victorians","Active","46","51","10","8","2","2","3","1","1","4","34","6","4","1","1","1","P"
"91","B","18","06843951","Zig-Zag Toastmasters","Active","22","18","6","1","1","0","2","1","1","4","1","4","4","1","1","1",""
"91","B","18","06963045","Centurion Toastmasters","Active","21","12","3","1","0","0","0","1","0","4","2","3","0","1","1","1",""
"91","B","18","28675589","PA Consulting London","Active","30","38","6","3","1","0","1","1","1","4","30","5","6","1","1","1","D"
"91","B","18","28678189","VMO2 Toastmasters Club","Active","25","26","1","0","0","0","0","0","0","1","0","0","0","1","1","1",""
"91","B","52","01095711","Polish Your Polish","Active","27","20","9","7","2","2","2","1","3","4","1","7","7","1","1","1","P"
"91","B","52","02277701","Kings Speakers","Active","8","8","3","0","0","0","0","0","0","4","4","3","6","1","0","1",""
"91","B","52","04144038","104 London Debaters","Active","22","34","7","1","2","0","1","1","1","4","19","4","4","1","1","1","S"
"91","B","52","04495118","Paddington Toastmasters","Active","25","25","7","4","2","2","0","1","0","4","8","3","0","1","1","1","S"
"91","B","52","07305510","GSK House Toastmasters Club","Active","36","24","2","0","0","0","0","0","0","4","9","3","1","1","1","0",""
"91","B","52","28677290","Aristocrat UK Corporate Club","Low","20","4","1","0","0","0","0","0","0","4","0","4","0","0","0","1",""
"91","C","02","01417626","Bloomsbury Speakers","Active","22","26","7","4","1","0","1","1","1","4","11","4","4","1","1","1","S"
"91","C","02","02684362","Experience French","Active","14","19","9","2","2","2","2","1","2","4","11","5","7","1","1","1","P"
"91","C","02","04169140","City Limits Speakers","Active","19","29","10","4","2","2","4","1","2","4","16","4","4","1","1","2","P"
"91","C","02","04713088","GS London Toastmasters Club","Active","16","9","2","1","0","0","0","0","0","4","0","3","0","1","1","1",""
"91","C","02","07569190","Amazon UKIR Toastmasters","Suspended","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"91","C","02","28677278","LSEG London Toastmasters Club","Active","20","15","4","3","0","0","0","0","0","4","4","4","5","0","1","1",""
"91","C","05","00007989","St Pauls Speakers","Active","17","10","3","2","0","0","0","0","0","4","5","4","5","0","0","1",""
"91","C","05","06718778","Bloomberg London Toastmasters","Active","47","45","10","5","2","2","3","1","2","4","8","4","4","1","1","1","P"
"91","C","05","07432434","Acuris London Toastmasters","Active","17","20","3","4","1","0","0","0","0","4","6","3","5","1","1","0",""
"91","C","05","07951012","EBRD Toastmasters Club","Active","35","39","2","0","0","0","0","0","0","4","0","0","0","1","1","1",""
"91","C","05","28677102","Toastmasters at Linklaters","Suspended","30","0","1","0","0","0","0","0","0","4","1","0","0","0","0","1",""
"91","C","05","28677260","I&C Toastmasters Club","Active","22","19","2","0","0","0","0","0","0","4","5","0","0","0","0","1",""
"91","C","05","28677767","Moorhouse Consulting","Active","20","11","2","1","0","0","0","0","0","4","3","0","0","0","1","1",""
"91","C","05","28678359","Columbia Threadneedle Investments","Active","56","58","1","0","0","0","0","0","0","2","0","0","0","0","1","1",""
"91","C","34","01107650","Bank Speakers","Suspended","8","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1",""
"91","C","34","03025177","Connected Speakers London","Active","11","8","1","0","1","0","0","1","0","3","0","0","1","0","1","0",""
"91","C","34","05101315","Lloyds Banking Group Toastmasters","Active","27","26","7","3","2","0","2","1","0","4","10","5","5","1","1","1","S"
"91","C","34","07989437","FTI Consulting UK","Active","25","13","4","2","0","0","0","0","0","4","10","5","4","1","1","1",""
"91","C","34","28677885","Arthur J. Gallagher London Toastmasters","Active","20","34","2","0","0","0","0","0","0","4","11","0","1","0","0","1",""
"91","C","58","00893055","City Women Speakers","Active","25","19","7","4","1","0","2","1","1","4","4","5","3","1","1","1",""
"91","C","58","01182993","Bayes Toastmasters","Active","20","13","5","2","2","0","1","1","0","4","1","6","5","1","1","1",""
"91","C","58","01352811","Speakers Corner","Active","10","8","2","0","0","0","0","0","0","4","2","0","1","0","1","1",""
"91","C","58","01376237","1st London Toastmasters","Active","52","75","5","2","2","0","2","0","0","4","62","5","0","1","1","1","D"
"91","C","58","07049317","Honourable Artillery Company Orators","Low","11","6","0","0","0","0","0","0","0","3","0","0","0","1","0","0",""
"91","D","14","00009834","Guildford Speakers Club","Active","30","36","6","3","2","0","0","1","0","4","15","4","4","1","1","1","D"
"91","D","14","00886002","Woking Speakers Toastmasters Club","Active","27","31","9","4","2","0","2","1","1","4","12","5","4","1","1","1","P"
"91","D","14","00961893","Camberley Speakers","Active","20","24","10","5","2","2","4","1","6","4","8","6","4","1","1","1","P"
"91","D","14","01500528","Farnham Speakers Club","Active","32","26","5","1","1","0","0","1","0","4","8","6","4","1","1","1","D"
"91","D","14","06989880","Godalming Speakers","Active","24","21","5","0","0","0","1","1","1","4","9","4","0","1","1","1","D"
"91","D","21","00005461","Maidenhead Speakers Club","Active","32","39","5","4","2","1","1","0","0","4","19","4","2","1","1","1","D"
"91","D","21","00758236","Windsor Speakers Club","Active","30","23","6","4","2","0","0","0","0","4","10","5","4","1","1","1","D"
"91","D","21","01937571","FM Communicators","Active","19","14","2","1","2","0","0","0","0","1","0","3","5","1","1","1",""
"91","D","21","03124015","Wokingham Speakers","Active","27","32","10","4","2","2","3","1","1","4","13","5","4","1","1","1","P"
"91","D","21","04670783","Ascot & Bracknell Speakers","Active","14","9","2","0","0","0","0","0","0","4","3","3","1","0","1","1",""
"91","D","21","07569818","Burnham Speakers","Active","19","20","9","4","2","0","2","1","1","4","5","4","4","1","1","1","P"
"91","D","29","00002731","Riverside Communicators","Active","54","49","10","5","2","2","3","1","2","4","11","7","5","1","1","1","P"
"91","D","29","00589261","Trojan Speakers Club","Active","20","20","3","0","0","0","0","0","0","4","11","0","0","0","1","1",""
"91","D","29","06989572","BMS Uxbridge Toastmasters Club","Active","11","8","2","0","0","0","0","0","0","4","1","4","2","1","0","1",""
"91","D","29","28675634","JAL Richmond Leaders","Active","20","26","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"91","D","29","28676140","Sky Osterley Toastmasters Club","Active","20","15","3","0","0","0","0","1","0","4","0","0","2","1","1","1",""
"91","D","29","28677935","SAP UKI Toastmasters","Active","20","20","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"91","D","53","00002487","Epsom Speakers Club","Active","37","43","9","5","2","2","3","1","0","4","19","5","5","1","1","1","P"
"91","D","53","04349640","SURBITON SPEAKERS","Active","33","37","10","6","2","4","3","1","1","4","18","7","4","1","1","1","P"
"91","D","53","06842976","Sutton Speakeasy","Active","35","33","6","4","0","0","1","1","0","4","10","7","5","1","1","1","D"
"91","D","53","07176374","The Reigate Rhetoric","Active","19","17","4","3","1","0","0","1","0","4","6","5","1","1","1","1",""
"91","D","53","28679048","UK Speakers and Leaders Toastmasters","Active","20","20","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"91","H","15","00625647","The Speakers of Croydon Club","Active","40","40","10","5","2","2","2","1","1","4","17","7","6","1","1","1","P"
"91","H","15","00840230","Croydon Communicators Club","Active","21","33","5","0","2","0","0","0","0","4","17","6","4","1","1","1","D"
"91","H","15","01638915","Purley Speakers","Active","16","18","6","0","2","0","0","1","3","4","6","4","3","1","1","1",""
"91","H","15","07110466","Liberty Speakers Club","Active","13","16","5","1","0","0","1","1","1","4","2","7","7","1","1","1","D"
"91","H","32","00007298","Arun Speakers","Active","25","22","8","4","2","0","0","1","1","4","4","4","4","1","1","1","S"
"91","H","32","01321786","County Communicators","Active","11","9","4","0","0","0","1","1","1","3","0","4","5","1","1","1",""
"91","H","32","01503299","Worthing Speakers","Active","37","32","9","4","2","2","4","1","0","4","10","4","5","1","1","1","P"
"91","H","32","05492830","Gatwick Communicators","Active","19","14","5","2","1","0","2","1","0","4","6","4","1","1","0","1",""
"91","H","32","07813669","Sussex Online Speakers","Active","27","18","7","4","2","1","1","1","1","4","1","6","4","1","1","1",""
"91","H","35","00008959","Bromley Speakers","Active","37","49","7","4","2","0","1","1","2","4","23","1","0","1","1","1","S"
"91","H","35","00762850","Meridian Speakers Club","Active","23","19","6","1","1","0","2","1","1","4","6","5","3","1","1","1",""
"91","H","35","01246707","Lewisham Speakers Club","Active","30","29","10","4","2","3","2","1","2","4","6","7","6","1","1","1","P"
"91","H","35","03518670","Connected Speakers Bromley","Active","12","10","6","3","2","0","1","1","1","4","0","6","4","1","1","1",""
"91","H","35","06630662","Beckenham Communicators","Active","38","38","10","6","2","2","2","1","1","4","13","5","5","1","1","1","P"
"91","H","37","00009934","Kent Speakers Club","Active","41","41","7","3","2","0","3","1","0","4","13","7","5","1","1","1","S"
"91","H","37","00710647","Canterbury Communicators Club","Active","17","15","2","2","0","0","0","0","0","4","2","2","1","1","1","1",""
"91","H","37","00739066","Tunbridge Wells Speakers Club","Active","35","32","8","5","2","3","3","1","0","4","10","2","1","1","1","1","S"
"91","H","37","00782690","Toasted Sandwich Toastmasters Club","Active","9","8","4","2","2","0","0","1","0","3","0","4","4","1","1","1",""
"91","H","37","28677612","Experience Yoruba","Active","20","20","6","4","0","0","0","1","0","4","8","6","5","0","1","1","D"
"91","H","55","00005439","Brighton & Hove Speakers Club","Active","49","41","9","5","2","2","2","1","0","4","30","7","5","1","1","1","P"
"91","H","55","00941371","Eastbourne Speakers Club","Active","16","17","2","0","0","0","0","0","0","4","3","4","0","1","1","1",""
"91","H","55","01240705","Battle Speakers Club","Suspended","13","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1",""
"91","H","55","02798330","Lewes Speakers Club","Active","20","21","6","0","1","0","2","1","1","4","4","3","0","1","1","1","D"
"91","H","55","05424679","TPR Speakers Club","Suspended","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"91","J","04","00000309","Thame Speakers","Active","24","29","9","4","2","0","2","1","2","4","4","5","5","1","1","1","P"
"91","J","04","00000762","Aylesbury Speakers","Active","30","26","4","0","0","0","1","1","0","4","3","5","4","1","1","1",""
"91","J","04","00004827","Chiltern Speakers Club","Active","29","32","9","4","2","0","2","1","2","4","17","5","5","1","1","1","P"
"91","J","04","01053038","Berkhamsted Speakers Club","Active","26","26","9","4","2","3","3","1","0","4","5","5","4","1","1","1","P"
"91","J","07","00003297","Oxford Speakers Club","Active","30","33","5","2","1","0","0","1","1","4","8","6","1","1","1","1","D"
"91","J","07","00004166","North Oxford Speakers","Active","20","20","9","5","2","1","3","1","1","4","4","4","4","1","1","1","P"
"91","J","07","00005503","Bicester Achievers Toastmasters Club","Active","20","22","7","1","1","0","2","1","2","4","5","5","4","1","1","1","S"
"91","J","07","01045890","Oxford Orators Club","Active","18","18","7","5","2","0","1","1","0","4","6","5","4","1","1","1",""
"91","J","07","07479608","Witney Speakers Club","Active","23","25","10","4","2","3","2","1","1","4","4","5","4","1","1","1","P"
"91","J","10","01014712","Voice of Wales Speakers Club","Active","21","24","10","4","2","2","2","1","2","4","7","6","7","1","1","1","P"
"91","J","10","02205990","Cardiff Toastmasters","Active","28","29","9","4","2","2","1","1","1","4","24","7","5","1","1","1","P"
"91","J","10","06688553","Valleys and Vale Speakers","Active","18","20","7","1","0","0","3","1","4","4","7","6","5","1","1","1","S"
"91","J","10","07068028","Wye Knot Speakers","Active","21","20","9","4","2","0","3","1","3","4","5","7","4","1","1","1","P"
"91","J","10","28676545","Toast Titans","Active","20","27","6","5","2","1","1","0","0","4","13","4","5","1","1","1","D"
"91","J","11","01182918","Cheltenham Speakers","Active","32","22","8","5","2","1","2","1","0","4","5","6","4","1","1","1","S"
"91","J","11","03105854","Malvern Speakers","Active","14","17","10","6","2","2","3","1","4","4","4","4","7","1","1","1","P"
"91","J","11","04277469","Gloucester Speakers","Active","15","20","5","3","1","0","1","1","0","4","6","5","5","1","1","1","D"
"91","J","11","07084351","Worcester Speakers","Active","14","17","9","5","2","0","4","1","1","4","6","6","5","1","1","1","P"
"91","J","22","00006874","Abingdon Speakers Club","Active","9","13","4","3","2","0","2","0","0","4","3","2","1","1","1","1",""
"91","J","22","05494849","Infineum Milton Hill Speakers","Active","26","20","5","1","0","0","3","1","0","4","1","7","6","1","1","1","D"
"91","J","22","06870121","Melting Pot Toastmasters","Active","17","24","8","0","2","0","2","1","1","4","12","6","5","1","1","1","S"
"91","J","22","07463526","Didcot Speakers Toastmasters Club","Active","10","8","2","0","0","0","1","1","0","4","3","4","1","0","0","1",""
"91","K","03","00002027","City of London Toastmasters Club","Active","82","76","10","6","2","3","3","1","2","4","32","7","4","1","1","1","P"
"91","K","03","00760422","MLP London Bridge Speakers","Active","11","18","4","2","1","0","0","1","0","4","10","3","3","1","1","1",""
"91","K","03","01811645","London Public Speakers","Active","59","62","10","8","2","3","3","1","1","4","30","4","4","1","1","1","P"
"91","K","03","05042742","Deutsche Bank Toastmasters London","Active","5","14","6","1","2","0","1","1","0","4","4","4","4","1","1","1","D"
"91","K","03","06816509","Accenture Speakers (London)","Active","10","25","5","2","2","0","1","1","0","4","16","4","4","1","1","0","D"
"91","K","03","28677680","Toastmasters @ Markel","Active","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"91","K","12","00005964","Broadgate Speakers","Ineligible","17","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",""
"91","K","12","04137457","Stratford London Toastmasters","Ineligible","9","2","0","0","0","0","0","0","0","2","0","1","0","0","0","0",""
"91","K","12","06113540","Barking Toastmasters","Active","13","25","9","4","2","2","3","1","0","4","19","4","4","0","1","1","P"
"91","K","12","07246774","Romford Speakers","Active","21","13","2","0","0","0","0","0","0","4","3","2","1","1","1","1",""
"91","K","13","00008923","Wharf Speakers","Active","18","18","5","0","0","0","1","1","0","4","8","5","4","1","1","1",""
"91","K","13","00778270","Canary Wharf Communicators Club","Active","11","11","2","1","1","0","0","0","0","4","10","1","0","0","0","0",""
"91","K","13","05930690","db Toastmasters - Canary Wharf","Active","19","21","9","4","2","1","2","1","2","4","11","4","4","1","1","1","P"
"91","K","13","28675605","KPMG Kommunicators","Suspended","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"91","K","13","28678332","HSBC 8CS London Toastmasters Club","Active","25","28","1","0","0","0","0","0","0","3","0","0","0","0","1","1",""
"91","K","31","06541394","Master Speakers","Active","10","14","1","0","0","0","0","0","0","4","0","0","0","0","0","0",""
"91","K","31","06718705","MS Orators","Ineligible","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"91","K","31","07447145","Moody's Europe Toastmasters","Active","23","21","7","2","2","0","2","1","1","4","1","6","6","0","1","2","S"
"91","K","31","07643327","JPMC London-Glasgow Toastmasters Club","Active","21","25","2","2","1","0","0","0","0","4","12","0","0","1","1","0",""
"91","L","16","00002390","Berkeley Square Speakers Toastmasters Club","Active","46","43","10","6","2","2","3","1","1","4","8","5","4","1","1","1","P"
"91","L","16","00004141","Grosvenor Square Speakers","Active","25","22","5","2","2","0","1","1","0","4","10","2","3","1","1","1","D"
"91","L","16","00004824","London Business School Public Speaking Club","Active","30","41","4","3","2","0","0","0","0","4","49","2","0","1","1","1",""
"91","L","16","03808273","PMI UK Toastmasters Club","Active","30","21","9","4","2","1","2","1","1","4","7","7","7","1","1","1","P"
"91","L","16","28675663","LHH Toastmasters Club","Active","20","15","1","2","0","0","0","0","0","1","0","1","0","1","1","1",""
"91","L","16","28675905","Dr. Martens Toastmasters Club","Suspended","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"91","L","47","00000501","London Communicators Club","Active","18","15","9","12","2","2","2","1","1","4","6","0","0","1","1","1",""
"91","L","47","01407974","Angel Speakers","Active","11","14","2","0","0","0","0","0","0","4","6","1","0","0","1","0",""
"91","L","47","02078451","Society Speakers","Active","25","16","5","2","2","0","0","0","0","4","9","4","4","1","1","1",""
"91","L","47","04413554","Kings Cross Speakers","Active","29","24","3","1","0","0","0","0","0","4","12","3","3","1","1","1",""
"91","L","47","05920958","Google UK Speakers","Active","20","23","5","2","0","0","0","1","0","4","9","5","4","1","1","1","D"
"91","L","56","00647094","Northern Lights Speakers Club","Active","20","19","3","1","0","0","0","0","0","4","8","4","2","1","1","1",""
"91","L","56","01492774","Woodford Green Speakers","Active","9","12","5","4","1","0","0","1","1","4","7","3","5","1","1","0","D"
"91","L","56","04580487","Tottenham Speakers Club","Active","8","9","2","1","1","0","0","0","0","4","1","3","0","1","1","1",""
"91","L","56","05606419","Manor House Speakers","Active","14","14","3","1","2","0","0","0","0","4","2","2","2","1","1","1",""
"91","L","56","05961042","Winchmore Hill Speakers","Active","34","24","7","6","2","0","1","1","0","4","11","7","5","1","1","1","S"
"91","L","56","28677377","Delta Toastmasters","Ineligible","20","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1",""
"91","L","61","00002326","HOD Speakers Club","Active","16","8","2","2","1","0","0","0","0","1","0","6","5","1","0","1",""
"91","L","61","00007749","Harrovian Speakers Toastmasters","Active","21","26","10","4","2","2","2","1","2","4","6","7","7","1","1","1","P"
"91","L","61","01139794","Watford Speakers","Active","18","20","5","0","0","0","2","0","0","4","11","4","5","1","1","1","D"
"91","L","61","03688847","TJXpressions","Active","10","13","5","3","1","0","1","1","0","4","4","5","4","0","1","1","D"
"91","L","61","07976394","Wembley Stadium Speakers","Active","28","33","9","7","2","4","2","1","0","4","24","7","5","1","1","2","P"
Month of Jun, As of 09/13/2025
